label,radial_disp_um,xdisp_mm,ydisp_mm,src_radius_mm,hits_TL,hits_ML,hits_BL,hits_TR,hits_MR,hits_BR
r400_x2.5_y2.5_R15,400,2.5,2.5,15,97546500,94762285,94398728,100105682,98759193,96138528

r400_x2.5_y5_R1.25,400,2.5,5,1.25,99201705,94576213,92860247,102090682,98730160,94075754

r400_x2.5_y5_R15,400,2.5,5,15,99139867,94699706,92841243,102174898,98677868,94181285

r400_x5_y-5_R1.25,400,5,-5,1.25,91947181,92463336,98143783,95095013,100654160,103233248

r400_x5_y-5_R15,400,5,-5,15,91931312,92580271,98066655,95213754,100618337,103354162

r400_x5_y-2.5_R1.25,400,5,-2.5,1.25,93479658,92523620,96567520,97078149,100739480,101110859

r400_x5_y-2.5_R15,400,5,-2.5,15,93455059,92641686,96515923,97188251,100671024,101232538

r400_x5_y0_R1.25,400,5,0,1.25,95029976,92562876,94998448,99072162,100761865,99029952

r400_x5_y0_R15,400,5,0,15,94990610,92672847,94965015,99207489,100696901,99173186

r400_x5_y2.5_R1.25,400,5,2.5,1.25,96572763,92524023,93481214,101150076,100735795,97016453

r400_x5_y2.5_R15,400,5,2.5,15,96552424,92638335,93456995,101249704,100670743,97156970

r400_x5_y5_R1.25,400,5,5,1.25,98154728,92471035,91969261,103252475,100656337,95059018

r400_x5_y5_R15,400,5,5,15,98109084,92600882,91922926,103371211,100618717,95170627
